Time,Country, traffic_injury, CVD ,unintentional_poisoning ,Suicide_mortality_rate,total_mortality,final_consumption_expenditure ,Inflation_GDP_deflator ,Total_natural_resources_rents
2000,Bangladesh,10.8,23.2,0.3,6,17.1,57.95258432,2.558021881,2.869597139
2000,Japan,12.5,11.4,0.3,23.9,36.7,75.00810046,3.44665935,0.5781924
2000,Philippines,9.8,23.1,0.3,1.8,11.9,54.53459703,4.593831662,3.911229482
2000,United Kingdom,6.9,16.5,0.3,8.6,15.8,46.73235842,2.062792614,2.595486693
2001,Australia,9.3,12.6,0.3,12.2,21.8,63.73898114,3.644970161,2.37183391
2001,Bangladesh,12,22.8,0.3,5.7,18,60.54952792,1.792397966,0.101482373
2001,Canada,9.2,14,0.3,12.2,21.7,53.66877113,-1.33626009,0.011096253
2001,Japan,12.1,11.1,0.3,23.2,35.6,36.17582045,10.94798496,41.68568377
2001,Philippines,9.7,23.8,0.3,1.5,11.5,66.67674101,1.690837262,0.996555579
2001,United Kingdom,7,16,0.3,8.3,15.6,71.71788085,5.816933559,0.464768413
2002,Australia,9.1,12.3,0.3,11.3,20.7,58.59000403,4.617100009,3.171152473
2002,Bangladesh,13.5,22.9,0.3,5.3,19.1,74.52283781,3.261160132,0.62475005
2002,Japan,11.3,10.8,0.3,23.8,35.4,55.09416488,2.044025945,3.247753216
2002,United Kingdom,7.1,15.7,0.3,8.3,15.7,45.51980966,2.047049457,2.480777471
2003,Bangladesh,14.9,22.9,0.3,5.1,20.3,64.14685743,3.215616017,2.360233798
2003,Canada,9.1,13.5,0.3,12.4,21.8,59.49358994,3.033592026,0.111916226
2003,Italy,11.8,12.7,0.3,7.4,19.5,54.42205916,-1.084879848,0.010688255
2004,Bangladesh,16.4,22.8,0.3,4.9,21.6,37.34338737,-1.646677592,33.89591788
2004,Italy,10.9,12,0.3,7.2,18.4,66.6537364,1.851017632,0.96617437
2005,Australia,8.3,11.4,0.3,11.2,19.8,72.9024635,5.618862266,0.404065987
2005,Bangladesh,17.6,23.3,0.3,4.9,22.8,57.87045431,2.835819531,2.73476829
2005,Canada,9.5,12.7,0.3,12.2,22,74.1384127,3.892867435,0.758870103
2005,Italy,10.3,11.8,0.3,6.7,17.3,56.01158428,0.843483727,2.356945633
2006,Bangladesh,17.6,23.7,0.3,5,22.9,44.91301883,0.602099078,1.873280296
2006,Italy,10.3,11.4,0.3,6.7,17.3,63.02964675,3.715683777,2.215796534
2006,United Kingdom,6.6,13.8,0.3,7.8,14.7,59.12575729,3.27434188,0.098335399
2007,Bangladesh,16.9,23.4,0.3,4.9,22.1,55.06246488,-1.390978615,0.010972852
2007,Italy,9.7,11.2,0.3,6.7,16.7,37.05089624,5.956874285,31.69139473
2007,United Kingdom,5.8,13.6,0.3,7.6,13.7,66.29850731,2.063440996,0.842698834
2008,Bangladesh,16.9,22.7,0.3,4.7,21.9,73.10427178,4.231091814,0.479800977
2008,Canada,8,11.9,0.3,11.5,19.8,58.3995215,3.007398181,2.16291888
2008,Philippines,10,24.6,0.3,2,12.3,74.68607907,5.815816648,0.74482706
2008,Italy,8.9,10.9,0.3,6.9,16.1,55.67558909,1.255872329,2.92957696
2008,United Kingdom,5.2,13.2,0.3,8.1,13.6,42.707785,2.603177719,1.952621212
2009,Bangladesh,16.9,22.1,0.3,4.6,21.8,61.50375761,3.867798086,2.139106991
2009,Canada,7.2,11.5,0.3,12,19.5,59.38965645,3.147807929,0.089196751
2009,Italy,8,10.8,0.3,7,15.3,54.89712551,-1.607703708,0.011647631
2009,United Kingdom,4.3,12.7,0.3,8,12.6,34.14587416,2.316558662,37.35722583
2010,Bangladesh,16.9,21.5,0.3,4.4,21.6,65.59346651,2.737123144,0.788019517
2010,Canada,7.3,11.1,0.3,12.1,19.7,73.50465871,3.192131329,0.688742163
2010,Italy,7.3,10.4,0.3,6.9,14.5,57.99164925,3.244911434,2.871694329
2010,United Kingdom,3.7,12.4,0.3,7.8,11.8,73.63770369,4.56213638,0.765082434
2011,Bangladesh,16.8,20.2,0.3,4,21.1,54.71834002,2.444373551,4.030162238
2011,Canada,6.3,10.8,0.3,11.3,17.9,40.6109056,6.95199268,4.650601857
2011,Italy,7.2,10.5,0.3,7.4,14.9,58.35154794,5.725413227,3.048979324
2011,United Kingdom,3.4,12,0.3,8.3,12,58.98887228,2.670183681,0.082481
2012,Bangladesh,15.9,19.4,0.3,3.7,19.9,54.73026208,-1.1247664,0.011361668
2012,Canada,6.7,10.7,0.3,11.8,18.8,30.38846843,11.05648382,42.74700051
2012,India,17.6,23.7,0.3,14.3,32.2,65.53660998,2.570058994,0.746042001
2012,Japan,4.8,9.1,0.3,21.6,26.7,73.59967103,5.890758534,0.926884128
2012,United Kingdom,3,11.7,0.3,8.2,11.5,57.55541111,3.806950994,4.227571636
2013,Canada,6.3,10.5,0.3,12.1,18.7,73.76406108,4.586360705,0.985276089
2013,India,17,22.7,0.3,13.7,31,54.30603986,1.363187307,4.411972771
2013,Japan,4.5,8.9,0.3,21.4,26.2,39.58687836,3.903744269,5.033399372
2013,Italy,5.8,10,0.3,7.5,13.6,57.37872994,5.621903263,3.569232986
2013,United Kingdom,2.9,11.6,0.3,8.8,12,59.31496129,2.010557901,0.108253732
2014,Bangladesh,15.9,18.8,0.3,3.5,19.7,54.80194383,-1.194017681,0.014922631
2014,Canada,5.8,10.4,0.3,12.7,18.8,26.33747178,20.14961278,52.37985717
2014,India,16.1,22,0.3,12.8,29.2,64.93038289,3.135897134,0.854468903
2014,Italy,5.8,9.8,0.3,7.2,13.3,73.95388052,5.910893448,0.935186606
2014,United Kingdom,3.2,11.3,0.3,8.6,12.1,56.72421667,5.120484675,5.295461039
2015,Bangladesh,15.8,18.6,0.3,3.4,19.5,73.12330821,5.875935815,1.356007135
2015,Canada,5.8,10.3,0.3,13,19.1,54.41902639,1.065703303,3.855923609
2015,India,15.6,22.6,0.3,12.3,28.2,37.75197952,3.926549397,5.510415569
2015,Italy,5.9,9.8,0.3,7.1,13.3,56.10994541,8.400938217,3.963734287
2015,United Kingdom,2.9,11.3,0.3,8.8,12,59.37981182,2.124853915,0.132745428
2016,Bangladesh,15.8,18.5,0.3,3.4,19.5,55.02901694,-0.862018389,0.018211849
2016,Canada,5.8,10.4,0.3,11.9,18,26.0263727,11.57236146,52.2272838
2016,India,15.3,22.6,0.3,12.1,27.7,64.18201936,2.848357977,0.955249972
2016,Italy,5.5,9.3,0.3,6.6,12.4,73.27738633,5.111586663,1.586835686
2016,United Kingdom,3,11.3,0.3,8.5,11.8,56.64233053,4.982430315,6.495600182
2017,Bangladesh,15.6,18.8,0.3,3.5,19.4,73.89315999,6.471260103,1.18857823
2017,India,15.2,22.2,0.3,12,27.5,54.72814168,-1.357274676,3.632175429
2017,United Kingdom,3,10.8,0.3,8.2,11.5,36.36952582,7.749686493,6.378164514
2018,Bangladesh,15.5,18.9,0.3,3.6,19.4,55.76051108,6.944418254,4.456338077
2018,Canada,5.4,9.8,0.3,12,17.7,59.06568565,2.478994766,0.125807334
2018,India,15.5,22,0.3,12.6,28.4,54.83529295,-0.705243547,0.021574618
2018,Italy,5.6,9.1,0.3,6.7,12.6,27.85343937,8.435399496,48.5172664
2018,United Kingdom,3,10.5,0.3,8.1,11.4,63.97289481,2.796515756,0.893347597
2019,Bangladesh,15.3,18.9,0.3,3.7,19.3,72.25637786,3.164289755,3.005899967
2019,Canada,5.3,9.6,0.3,11.8,17.4,56.54242362,4.614583524,8.593194059
2019,India,15.6,21.9,0.3,12.7,28.6,75.63231108,7.860966092,1.106689659
2019,Italy,5.3,9,0.3,6.7,12.3,54.46132863,3.983738602,5.007500572
2019,United Kingdom,3.2,10.3,0.3,7.9,11.4,35.28788015,7.795346037,9.714862071
2000,Australia,9.9,12.9,0.4,12.7,23,56.67681598,9.193969626,7.103776498
2000,Canada,9.8,14.4,0.4,11.9,22.1,59.42887321,2.400703444,0.152242818
2000,China,21.4,23,1.7,14.3,37.4,55.76379845,-0.911530288,0.02416608
2000,India,16.9,25.1,0.6,17,34.5,26.87958381,17.68979654,55.47505726
2000,Italy,13.9,13.6,0.5,7.5,21.9,64.24117061,3.228559765,1.299586423
2000,Saudi Arabia,17.1,25.5,0.8,3.2,21.1,73.18582452,7.179216183,1.630455367
2001,China,21.9,22.7,1.8,12.9,36.6,54.61360384,4.988338454,5.038693901
2001,India,16.6,24.9,0.6,16.6,33.8,74.57384126,6.764354686,1.158007341
2001,Italy,13.9,13.2,0.5,7.3,21.7,57.57292848,-2.311525374,2.025201372
2001,Saudi Arabia,17.1,25.5,0.9,3.3,21.3,35.32729591,-0.209533361,3.988632346
2002,Canada,9.7,13.8,0.4,11.9,22,55.95988847,7.040365435,3.407388971
2002,China,22.1,22.7,1.8,12.2,36.1,60.43305338,1.67883896,0.099060946
2002,India,16.3,24.6,0.6,16.1,33,57.61411925,-0.569564925,0.019661217
2002,Philippines,10.2,24.4,0.2,1.7,12.1,36.77880198,-15.71323043,35.44744494
2002,Italy,13.3,12.9,0.4,7.4,21.1,64.59444359,1.716219059,0.869760382
2002,Saudi Arabia,17.2,25.6,0.9,3.4,21.5,73.18921981,2.738258566,1.296246318
2003,Australia,8.5,11.8,0.4,10.5,19.4,56.00357061,1.165383439,8.076665268
2003,China,21.1,22.7,1.9,12.8,35.8,74.11465031,7.144663025,1.151906686
2003,India,15.8,23.9,0.5,15.3,31.6,56.99836619,2.849946456,2.237042013
2003,Japan,10.6,10.6,0.4,25.6,36.6,34.32634109,6.881380253,6.295716786
2003,Philippines,10.1,24,0.2,1.8,12.1,54.72485776,10.52603086,4.451009487
2003,Saudi Arabia,17.7,25.8,0.9,3.5,22.1,60.72530313,0.436360538,0.124375432
2003,United Kingdom,7.2,15.3,0.2,7.9,15.3,56.86856542,-1.88074195,0.019085164
2004,Australia,8.2,11.5,0.4,10.3,18.9,32.28111188,17.19132316,39.85535445
2004,Canada,8.9,13.1,0.4,11.7,21,64.23249049,1.376207318,0.978607927
2004,China,20.5,22.5,2,13.3,35.8,70.19245276,4.370884364,2.22909956
2004,India,15.6,22.5,0.5,15.2,31.3,54.56908748,6.206780722,8.675037506
2004,Japan,10.1,10.5,0.4,24.1,34.6,74.28046965,7.859450855,1.641664961
2004,Philippines,10.1,24.2,0.2,1.8,12.1,55.90274979,3.23475903,2.969299133
2004,Saudi Arabia,23,25.6,0.8,3.4,27.2,34.92042834,8.075684467,7.677887753
2004,United Kingdom,6.9,14.6,0.2,8.2,15.3,56.20721858,8.733580144,5.337797022
2005,China,20.8,21.8,2,12.9,35.7,61.11646734,1.607176983,0.172008549
2005,India,15.9,22.5,0.5,15.5,31.9,57.22006823,-1.62208025,0.020960586
2005,Japan,9.4,10.3,0.5,24.3,34.2,27.08468618,15.5293538,51.97944791
2005,Philippines,10.1,24.3,0.2,1.9,12.2,64.25194473,2.067332934,1.145868274
2005,Saudi Arabia,25.9,25.8,0.8,3.7,30.4,72.1314102,3.918805775,3.041347485
2005,United Kingdom,6.6,14.2,0.2,7.9,14.7,54.28916045,1.789129964,5.362241687
2006,Australia,8,10.9,0.2,10.6,18.8,73.73689485,8.164573678,1.632411801
2006,Canada,9.1,12.3,0.2,11.2,20.5,56.02031518,1.211917544,1.804264542
2006,China,20.7,20.7,2,12.1,34.8,35.38653491,2.331217576,4.154487131
2006,India,16.3,22.8,0.5,15.6,32.4,56.46095379,7.934386248,4.031955719
2006,Japan,8.6,10,0.4,23.9,32.9,61.29865897,1.54730144,0.187831463
2006,Philippines,9.8,25,0.2,2,12,57.67911944,-0.75609312,0.019975646
2006,Saudi Arabia,24.8,26.1,0.9,4,29.7,28.45763936,4.015537184,49.70618015
2007,Australia,7.9,10.6,0.2,10.9,19,64.57459385,1.611883546,0.940973075
2007,Canada,8.9,12.2,0.4,11.5,20.8,72.55498272,1.994176097,1.729061083
2007,China,20.9,20,2,11.5,34.4,55.34522999,-0.15259154,5.311125253
2007,India,16.7,23.1,0.5,15.3,32.5,72.84777398,7.174953427,1.165407416
2007,Japan,6.2,9.9,0.4,25,31.6,55.96086527,1.737448,1.915526954
2007,Philippines,10.6,24.6,0.2,1.9,12.7,35.83313112,2.163370027,3.027690783
2007,Saudi Arabia,26,26.2,0.9,4.3,31.2,57.64576609,6.186504001,3.63866686
2008,Australia,7.1,10.5,0.2,11.6,18.9,60.90149176,1.147610159,0.168481487
2008,China,20.5,19.6,2.1,11.1,33.7,58.13846101,-0.354375054,0.02287471
2008,India,17.1,23.3,0.5,15.1,32.7,29.95559288,-1.216359938,46.50555812
2008,Japan,5.5,9.7,0.4,24.4,30.3,64.80148119,2.238800542,0.759360049
2008,Saudi Arabia,25.7,26.2,0.9,4.6,31.2,72.01076249,2.061063359,1.374399187
2009,Australia,7.1,10.1,0.1,11.2,18.4,55.56850477,1.44182453,4.740528521
2009,China,20.5,19.3,2.1,10.7,33.3,72.57253692,5.668788528,1.115607214
2009,India,17,23.2,0.4,14.5,31.9,55.7963143,1.944598697,1.648838282
2009,Japan,5.4,9.6,0.4,24.9,30.7,36.70789836,1.031063688,2.308582087
2009,Philippines,10.6,24.8,0.2,2.3,13.1,58.1277171,3.331756917,2.80733345
2009,Saudi Arabia,23.8,26,0.9,5,29.7,60.6062496,0.913241262,0.145633419
2010,Australia,6.5,9.9,0.2,11.7,18.4,57.63158453,1.686294786,0.025731296
2010,China,20.3,19,2.1,10.2,32.6,32.07886192,-2.270001787,41.65099789
2010,India,17.2,23.7,0.4,14.6,32.2,64.43537392,1.590368107,0.585049773
2010,Japan,5.3,9.5,0.4,24.1,29.8,71.27402059,3.053055301,1.655560675
2010,Philippines,11.5,24.4,0.2,2.4,14.1,56.85516388,-0.6165424,3.275622652
2010,Saudi Arabia,24.8,25.7,0.9,5.5,31.2,72.43728948,5.87277704,0.923666723
2011,Australia,5.9,9.8,0.2,11.2,17.3,57.80896906,-0.876717545,0.335525992
2011,China,20.7,18.7,2.1,9.6,32.4,37.77300366,-0.002944094,1.177931639
2011,India,17.4,23.9,0.4,14.7,32.5,59.00728108,2.279588108,1.777100987
2011,Japan,5,9.4,0.4,23.4,28.8,60.76860855,0.931863575,0.084246148
2011,Philippines,10.5,24.2,0.2,2.7,13.4,55.77079666,2.111298993,0.027885364
2011,Saudi Arabia,26.1,25,1,6.1,33.2,40.30170214,-16.90853418,24.48319416
2012,Australia,5.8,9.3,0.2,11.7,17.7,64.45934606,0.511374817,0.328278932
2012,China,20.3,18.3,2.1,9,31.4,72.47288809,-0.71968279,0.789367537
2012,Philippines,10.8,24.8,0.2,2.4,13.4,57.7756276,-0.597558625,4.057301272
2012,Italy,6.5,10.4,0.4,7.6,14.5,66.86444222,27.85073772,0.586126104
2012,Saudi Arabia,27,24.3,1,6.4,34.4,58.48431006,0.75403003,0.779091496
2013,Australia,5.3,9.3,0.2,11.5,17,38.67498195,1.407346027,1.055275704
2013,Bangladesh,15.9,19,0.2,3.5,19.6,59.29528123,3.237974951,1.732258953
2013,China,19.6,17.7,2,8.6,30.2,60.1242267,1.13435002,0.049936043
2013,Philippines,10.6,24.8,0.2,2.4,13.2,54.70149969,0.419944376,0.023927991
2013,Saudi Arabia,26.3,23.8,1,6.5,33.8,42.81384327,-3.046406544,20.16506435
2014,Australia,5.4,9.3,0.2,12.7,18.3,64.85333511,1.901106634,0.278479737
2014,China,18.8,17.2,2,8.4,29.2,72.55358837,1.280311744,0.662887494
2014,Japan,4.2,8.8,0.2,20.1,24.5,56.34872456,3.745090037,5.060707842
2014,Philippines,10.9,24,0.2,2.3,13.4,66.91191681,5.047597582,0.563197532
2014,Saudi Arabia,25,23.3,1,6.6,32.6,57.97623235,2.56499684,1.231551039
2015,Australia,5.2,9.3,0.1,13.2,18.5,38.54274622,4.232681975,1.332935942
2015,China,18.3,16.8,2,8.1,28.4,58.72514968,3.969257934,1.964858493
2015,Japan,4.2,8.6,0.2,19.1,23.5,60.25255316,0.726343221,0.06999037
2015,Philippines,12.5,24.6,0.2,2.3,15,54.61369476,-0.074349504,0.037107097
2015,Saudi Arabia,26.2,22.9,0.9,6.3,33.4,41.19142484,7.565811769,24.30841924
2016,Australia,5.6,9,0.1,12.2,17.9,64.50475719,1.818766408,0.419773149
2016,China,18,16.6,1.9,8.2,28.1,72.18164786,2.320259946,0.932555077
2016,Japan,4.1,8.7,0.2,17.5,21.8,55.98080465,1.830155298,5.474623652
2016,Philippines,12.2,24.6,0.2,2.2,14.6,67.58965176,5.805538767,0.599715199
2016,Saudi Arabia,28.7,22.3,0.9,6.3,35.9,57.82610329,1.61741439,2.12446559
2017,Australia,5.2,8.7,0.1,13.1,18.4,38.52188052,3.499747636,1.477941277
2017,Canada,5.6,10.1,0.4,13,19,59.28832281,3.884240272,2.247346135
2017,China,17.8,16.3,1.9,8.1,27.8,60.18811655,1.068132047,0.106904442
2017,Japan,3.9,8.6,0.2,17,21.1,54.809455,-0.001711797,0.033722402
2017,Philippines,11.8,24.6,0.2,2.2,14.2,36.68238755,15.67936706,30.08617552
2017,Italy,5.7,9.4,0.2,7.1,13,64.95226225,1.999034892,0.661331868
2017,Saudi Arabia,30.6,21.8,0.9,6.2,37.7,72.54282186,3.74065383,1.042417991
2018,Australia,4.8,8.7,0.1,12.4,17.3,54.74543579,3.418785916,5.812376793
2018,China,17.6,16,1.8,8.1,27.5,66.87742901,3.658137552,0.412651566
2018,Japan,3.7,8.4,0.2,16.7,20.6,57.74717539,1.47519792,1.986983576
2018,Philippines,11.9,24.6,0.2,2.2,14.3,39.24806213,1.286700408,1.138781106
2018,Saudi Arabia,33.2,21.3,0.9,6.1,40.2,60.95740353,2.390748792,1.99176249
2019,Australia,4.9,8.6,0.1,12.5,17.5,59.81609051,0.920178589,0.089880943
2019,China,17.4,15.9,1.8,8.1,27.3,54.54590869,0.636888707,0.091779463
2019,Japan,3.6,8.3,0.2,15.3,19.1,38.60065973,-1.914794421,25.17115429
2019,Philippines,12,24.5,0.2,2.2,14.4,64.25255722,2.015103187,0.579761578
2019,Saudi Arabia,35.9,20.9,0.8,6,42.7,73.20643934,0.697076297,0.727808078
